DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE
2022-02-05,Bretagne,53,103595132,43917362749.0
2022-02-05,Centre-Val de Loire,24,68822830,33039659745.0
2022-02-05,Grand-Est,44,145755766,58215538822.0
2022-02-05,Hauts-de-France,32,142650202,56458176450.0
2022-02-05,Normandie,28,95195120,42682211240.0
2022-02-05,Nouvelle Aquitaine,75,174041726,77620738047.0
2022-02-05,Occitanie,76,188745614,78667481714.0
2022-02-05,Pays de la Loire,52,109391560,49531944197.0
2022-02-05,Provence-Alpes-Côte d'Azur,93,168233286,68194606021.0
2022-02-05,Île-de-France,11,313363874,109907461973.0
2022-02-06,Auvergne-Rhône-Alpes,84,231468864,97915363303.0
2022-02-06,Bourgogne-Franche-Comté,27,82257270,33969403328.0
2022-02-06,Bretagne,53,103592330,44169456671.0
2022-02-06,Centre-Val de Loire,24,68820882,33231182436.0
2022-02-06,Grand-Est,44,145751450,59040897632.0
2022-02-06,Hauts-de-France,32,142644674,56883740807.0
2022-02-06,Normandie,28,95191948,42960627298.0
2022-02-06,Nouvelle Aquitaine,75,174038655,78119590388.0
2022-02-06,Occitanie,76,188740490,79208831797.0
2022-02-06,Pays de la Loire,52,109388918,49745787092.0
2022-02-06,Provence-Alpes-Côte d'Azur,93,168227588,68735727856.0
2022-02-06,Île-de-France,11,313358566,110348220550.0
2022-02-07,Auvergne-Rhône-Alpes,84,231509888,92600193799.0
2022-02-07,Bourgogne-Franche-Comté,27,82267440,32090956978.0
2022-02-07,Bretagne,53,103606328,41731237153.0
2022-02-07,Centre-Val de Loire,24,68827862,31135494700.0
2022-02-07,Grand-Est,44,145767526,56281000105.0
2022-02-07,Hauts-de-France,32,142663646,53761213341.0
2022-02-07,Normandie,28,95203876,40581058737.0
2022-02-07,Nouvelle Aquitaine,75,174061284,73179402005.0
2022-02-07,Occitanie,76,188767768,74294226024.0
